Date,KW
2020-02-18 19:19:00.000Z,51.2
2020-02-19 06:01:00.000Z,39.5
2020-02-19 16:29:00.000Z,34.6
2020-02-20 04:48:00.000Z,23.9
2020-02-20 05:45:00.000Z,22.4
2020-02-20 20:08:00.000Z,213.6
2020-02-20 23:13:00.000Z,207.0
2020-02-21 04:56:00.000Z,204.5
2020-02-21 16:04:00.000Z,188.3
2020-02-22 05:30:00.000Z,173.5
2020-02-22 15:18:00.000Z,158.7
2020-02-22 18:58:00.000Z,152.8
2020-02-22 23:19:00.000Z,146.5
2020-02-23 08:39:00.000Z,139.1
2020-02-23 16:46:00.000Z,134.3
2020-02-23 21:18:00.000Z,128.2
2020-02-24 05:41:00.000Z,120.9
2020-02-24 09:13:00.000Z,118.4
2020-02-24 17:16:00.000Z,114.3
2020-02-25 04:25:00.000Z,104.6
2020-02-25 16:05:00.000Z,98.8
2020-02-25 20:04:00.000Z,92.5
2020-02-25 21:53:00.000Z,89.2
2020-02-26 04:47:00.000Z,84.3
2020-02-26 19:55:00.000Z,69.3
2020-02-27 04:37:00.000Z,61.5
2020-02-27 16:29:00.000Z,53.9
2020-02-27 23:12:00.000Z,42.9
2020-02-28 04:40:00.000Z,40.7
2020-02-28 15:59:00.000Z,35.6
2020-02-28 20:41:00.000Z,29.7
2020-02-29 05:47:00.000Z,24.6
2020-02-29 10:17:00.000Z,21.8
2020-02-29 16:15:00.000Z,13.9
2020-02-29 17:54:00.000Z,9.6
2020-02-29 17:56:00.000Z,9.4
2020-02-29 17:57:00.000Z,212.4
2020-03-01 16:16:00.000Z,193.5
2020-03-02 04:48:00.000Z,182.6
2020-03-02 16:55:00.000Z,174.3
2020-03-02 19:03:00.000Z,171.9
2020-03-03 04:33:00.000Z,164.0
2020-03-03 11:09:00.000Z,159.5
2020-03-03 16:37:00.000Z,153.4
2020-03-03 19:17:00.000Z,148.6
2020-03-04 04:42:00.000Z,137.5
2020-03-05 04:43:00.000Z,110.1
2020-03-05 12:32:00.000Z,105.7
2020-03-05 17:02:00.000Z,98.4
2020-03-06 04:03:00.000Z,89.0
2020-03-06 20:19:00.000Z,75.2
2020-03-07 05:40:00.000Z,69.1
2020-03-07 07:19:00.000Z,67.8
2020-03-07 13:28:00.000Z,60.1
2020-03-08 06:03:00.000Z,42.5
2020-03-08 13:44:00.000Z,28.9
2020-03-08 19:37:00.000Z,14.8
2020-03-09 05:14:00.000Z,10.1
2020-03-09 05:25:00.000Z,9.7
2020-03-09 05:28:00.000Z,212.7
2020-03-09 10:05:00.000Z,207.9
2020-03-10 08:36:00.000Z,186.6
2020-03-10 19:06:00.000Z,170.8
2020-03-10 20:54:00.000Z,167.3
2020-03-11 04:12:00.000Z,162.9
2020-03-11 10:05:00.000Z,160.1
2020-03-11 21:34:00.000Z,146.4
2020-03-12 06:33:00.000Z,142.6
2020-03-12 22:22:00.000Z,122.1
2020-03-13 07:09:00.000Z,118.1
2020-03-13 15:51:00.000Z,108.4
2020-03-13 20:50:00.000Z,102.4
2020-03-14 04:38:00.000Z,94.8
2020-03-14 19:36:00.000Z,75.8
2020-03-15 06:22:00.000Z,68.9
2020-03-15 11:06:00.000Z,56.1
2020-03-15 16:11:00.000Z,46.1
2020-03-16 05:03:00.000Z,31.1
2020-03-16 05:48:00.000Z,29.7
2020-03-16 22:14:00.000Z,16.1
2020-03-17 06:40:00.000Z,10.4
2020-03-17 11:24:00.000Z,7.3
2020-03-17 14:38:00.000Z,3.9
2020-03-17 14:39:00.000Z,206.6
2020-03-17 17:59:00.000Z,203.1
2020-03-18 03:46:00.000Z,194.6
2020-03-18 16:06:00.000Z,184.5
2020-03-19 03:59:00.000Z,173.5
2020-03-19 14:50:00.000Z,165.4
2020-03-19 17:50:00.000Z,159.9
2020-03-20 00:38:00.000Z,149.0
2020-03-20 05:59:00.000Z,145.4
2020-03-21 08:49:00.000Z,109.6
2020-03-21 16:39:00.000Z,96.6
2020-03-22 04:56:00.000Z,83.8
2020-03-22 13:09:00.000Z,69.4
2020-03-22 15:35:00.000Z,65.3
2020-03-22 19:52:00.000Z,57.5
2020-03-23 05:10:00.000Z,46.5
2020-03-23 09:16:00.000Z,43.3
2020-03-24 04:31:00.000Z,22.1
2020-03-24 14:38:00.000Z,14.8
2020-03-24 15:41:00.000Z,12.7
2020-03-24 17:03:00.000Z,10.2
2020-03-24 17:37:00.000Z,9.4
2020-03-24 19:22:00.000Z,6.2
2020-03-24 19:25:00.000Z,209.0
2020-03-25 06:10:00.000Z,197.2
2020-03-26 00:26:00.000Z,172.6
2020-03-26 05:07:00.000Z,169.4
2020-03-26 11:02:00.000Z,164.1
2020-03-26 20:34:00.000Z,153.2
2020-03-27 17:42:00.000Z,138.7
2020-03-27 21:58:00.000Z,133.4
2020-03-28 07:17:00.000Z,130.5
2020-03-28 10:41:00.000Z,123.5
2020-03-28 16:33:00.000Z,112.2
2020-03-28 19:00:00.000Z,108.6
2020-03-28 23:51:00.000Z,101.7
2020-03-29 05:35:00.000Z,99.3
2020-03-29 14:40:00.000Z,86.2
2020-03-29 21:25:00.000Z,77.2
2020-03-30 04:44:00.000Z,73.2
2020-03-30 11:19:00.000Z,67.1
2020-03-30 18:01:00.000Z,59.1
2020-03-31 07:22:00.000Z,49.8
2020-03-31 12:06:00.000Z,45.7
2020-03-31 17:39:00.000Z,38.2
2020-03-31 21:34:00.000Z,31.8
2020-04-01 06:10:00.000Z,28.3
2020-04-01 08:54:00.000Z,26.6
2020-04-01 13:35:00.000Z,20.9
2020-04-01 19:28:00.000Z,13.9
2020-04-02 06:04:00.000Z,8.2
2020-04-02 10:06:00.000Z,2.8
2020-04-02 11:30:00.000Z,1.2
2020-04-02 16:10:00.000Z,0.0
2020-04-02 16:12:00.000Z,253.6
2020-04-03 07:31:00.000Z,242.8
2020-04-03 22:36:00.000Z,230.9
2020-04-04 06:12:00.000Z,228.2
2020-04-04 13:06:00.000Z,221.7
